id,lon,lat,region,country,tce.10.20,tce.10.25,tce.20.25,tce.30.25,tce.10.30,tce.10.mean,tce.20.mean,tce.30.mean,cloud,albedo,lai,lai2,gdp,prec,solar,vpd,ws,mswx_prec,mswx_solar,mswx_vpd,mswx_ws,trend_lai,sd
25915,19.4654587494953,51.7599196090022,EE,Poland,0.210375315471913,0.252958938524736,0.119834048995114,0.0774125082517803,0.29554256157756,0.157757994226845,0.0746353625349332,0.0481793170493309,0.584767123,0.120581253534235,0.95706577425,0.9661308295,0.26975,488.0763086,154.71116345,0.49967530125,1.248960359,423.526716549296,155.424635841477,0.459856842671457,3.00035212426118,0.009333809,17.20363434
25936,19.9869305688432,50.0428514660528,EE,Poland,0.224157921141996,0.272918876643768,0.129050888287419,0.0832721211625642,0.321679832145541,0.167901136812096,0.0793891853779694,0.0512195051585338,0.60952552025,0.121321421538069,1.098349899375,1.01347636775,0.304,593.27712215,158.336341725,0.44514575075,1.14584417675,563.245487967915,159.338504128278,0.426784330078686,2.29453643471162,0.013703162,15.48835788
25986,20.9762467796756,52.2074757305832,EE,Poland,0.230538887340388,0.279926222044166,0.131959703874263,0.0849950916188066,0.329313556747945,0.177224836836624,0.0833190323301452,0.0535930262216343,0.5763278685,0.125775210241875,0.903517929,0.922342638,0.64125,458.040594625,159.578221375,0.5378017035,0.95595943025,389.636007414152,162.841025551946,0.467117095871111,2.83320402590467,0.01760113,11.77098783
26063,22.5707120503931,51.235761528454,EE,Poland,0.238169380447606,0.282876871690309,0.13306645050637,0.0856707953449521,0.327584362933012,0.184431938589747,0.0863244639231029,0.055400171303876,0.56573274925,0.133099933407444,1.0283532255,0.86465841325,0.18775,507.10092565,156.708278,0.48358801575,0.93795045425,404.77659761236,161.789729343371,0.431587431881763,3.19377009687799,0.017577749,15.39799236
26214,-8.5780128304191,41.1007514809048,SE,Portugal,0.173584536349133,0.210854817398867,0.100555260711007,0.0652130382268756,0.248125098448601,0.155187793055419,0.0738849109558712,0.0478707445763659,0.46929074975,0.141067436320218,0.996704875125,0.972464595,0.34425,489.3614542,251.913467575,0.6138431895,1.4252202055,480.74602537923,243.413414575673,0.490040234486001,3.17319693184233,0.021838438,48.76337892
26262,-9.13613623261322,38.8536368438638,SE,Portugal,0.261996922495013,0.338570417696814,0.158366141940081,0.101544565529609,0.415143912898615,0.196504049822154,0.0915523413780011,0.0585900337889103,0.45376584675,0.152798294208626,0.646702055,0.735915741,0.828,420.64441435,214.906038,0.54028242075,2.55383025725,490.890333488806,211.199793409945,0.496832626812702,3.57991534838481,0.022017416,57.36725788
26279,-9.12629947029439,38.6196398655417,SE,Portugal,0.145442394501323,0.195553989301051,0.0943220640866575,0.0615575787702838,0.245665584100778,0.106359234770971,0.0513043837448487,0.0334861161737817,0.46070275225,0.154342135689953,0.584977266375,0.5875788765,0.41225,403.725062525,212.79674925,0.5380146155,2.58344280875,494.109781901042,210.268495440483,0.492771034580034,3.56108628741155,0.020956294,24.50800322
26288,-9.35308039305207,38.718564187553,SE,Portugal,0.130925561428381,0.180813008763812,0.0873636001230672,0.0570824283276215,0.230700456099244,0.077920692358232,0.0377128718562442,0.024664390737291,0.4778046235,0.158016189058876,0.6120137965,0.6077923065,0.394,444.0702543,199.055625925,0.42671154,3.41985397225,480.487996688742,201.825780325378,0.365533925607089,4.53527103473019,0.014063063,35.14675153
26296,-66.0729305519139,18.4009674784907,CAM,Puerto Rico (US),0.163204382271052,0.211107564662458,0.101212700432711,0.0659541957187398,0.259010747053863,0.230415188400549,0.11002322814669,0.0714619273032552,0.6268339205,0.138692539220473,1.01240789825,1.0779218265,0.6515,754.4452502,135.9288725,0.780928122,2.5143878555,984.00376344086,239.835281355663,0.703233996864344,2.77687049296595,0.021200687,26.04413543
26528,26.1010916572269,44.4214458687639,EE,Romania,0.318797049697546,0.372238040690428,0.171606148539631,0.109135669273635,0.42567903168331,0.309594969460588,0.142307189861212,0.0902979987121039,0.495159987333333,0.12868324076882,0.766509432,0.663498258666667,1.23866666666667,494.228639733333,208.174126366667,0.814002776333333,0.957996013,452.654788669065,207.345257198782,0.728013308529666,2.27737812301238,0.020702504,8.751427352
